Applicant_Name,Country_Code,Application_Number,File_Name,Filing_Date,ID_univerzita,API,TYP,TYP_CISLO
1. Lékařská Fakulta Univerzity Karlovy,CZ,2015-922,OPENDATAST96_PT_CZ_DIFF_PV2015-922.xml,2015-12-21,14,PT/2015-922,PT,1
1. Lékařská Fakulta Univerzity Karlovy,CZ,2015-923,OPENDATAST96_PT_CZ_DIFF_PV2015-923.xml,2015-12-21,14,PT/2015-923,PT,1
1. Lékařská Fakulta Univerzity Karlovy,CZ,2015-925,OPENDATAST96_PT_CZ_DIFF_PV2015-925.xml,2015-12-21,14,PT/2015-925,PT,1
1. Lékařská Fakulta Univerzity Karlovy,CZ,2017-34273,OPENDATAST96_PT_CZ_FULL_PUV2017-34273.xml,2017-10-30,14,PUV/34273,PUV,2
1. Lékařská Fakulta Univerzity Karlovy,CZ,2017-34274,OPENDATAST96_PT_CZ_FULL_PUV2017-34274.xml,2017-10-30,14,PUV/34274,PUV,2
1. LF University Karlovy,CZ,2014-213,OPENDATAST96_PT_CZ_FULL_PV2014-213.xml,2014-04-01,14,PT/2014-213,PT,1
1. LF Univerzity Karlovy,CZ,2013-5,OPENDATAST96_PT_CZ_DIFF_PV2013-5.xml,2013-01-02,14,PT/2013-5,PT,1
2. lékařská fakulta Univerzity Karlovy,CZ,2016-33123,OPENDATAST96_PT_CZ_FULL_PUV2016-33123.xml,2016-12-02,14,PUV/33123,PUV,2
Akademie múzických umění v Praze ,CZ,2019-37043,OPENDATAST96_PT_CZ_DIFF_PUV2019-37043.xml,2019-12-19,1,PUV/37043,PUV,2
Akademie múzických umění v Praze ,CZ,2020-38361,OPENDATAST96_PT_CZ_DIFF_PUV2020-38361.xml,2020-12-15,1,PUV/38361,PUV,2
Akademie múzických umění v Praze ,CZ,2021-39223,OPENDATAST96_PT_CZ_DIFF_PUV2021-39223.xml,2021-09-30,1,PUV/39223,PUV,2
Akademie múzických umění v Praze ,CZ,2018-734,OPENDATAST96_PT_CZ_DIFF_PV2018-734.xml,2018-12-21,1,PT/2018-734,PT,1
Akademie múzických umění v Praze ,CZ,2019-789,OPENDATAST96_PT_CZ_DIFF_PV2019-789.xml,2019-12-19,1,PT/2019-789,PT,1
Akademie múzických umění v Praze ,CZ,2020-678,OPENDATAST96_PT_CZ_DIFF_PV2020-678.xml,2020-12-15,1,PT/2020-678,PT,1
Akademie múzických umění v Praze ,CZ,2021-459,OPENDATAST96_PT_CZ_DIFF_PV2021-459.xml,2021-09-30,1,PT/2021-459,PT,1
Akademie múzických umění v Praze ,CZ,2018-35773,OPENDATAST96_PT_CZ_FULL_PUV2018-35773.xml,2018-12-20,1,PUV/35773,PUV,2
Akademie múzických umění v Praze ,CZ,2018-35774,OPENDATAST96_PT_CZ_FULL_PUV2018-35774.xml,2018-12-20,1,PUV/35774,PUV,2
Akademie múzických umění v Praze ,CZ,2018-735,OPENDATAST96_PT_CZ_FULL_PV2018-735.xml,2018-12-21,1,PT/2018-735,PT,1
Akademie múzických umění v Praze ,CZ,2015-31734,OPENDATAST96_PT_CZ_FULL_PUV2015-31734.xml,2015-11-06,1,PUV/31734,PUV,2
Akademie múzických umění v Praze ,CZ,2015-792,OPENDATAST96_PT_CZ_FULL_PV2015-792.xml,2015-11-06,1,PT/2015-792,PT,1
Ceská zemedelská univerzita v Praze,CZ,2021-856899,OPENDATAST96_EPTEST_CZ_DIFF_CZEP4244331.xml,2021-12-17,3,EP/4244331,EP,5
Ceská Zemedelská Univerzita V Praze,CZ,2014-466013,OPENDATAST96_EPTEST_CZ_FULL_CZEP2813870.xml,2014-06-10,3,EP/2813870,EP,5
Ceská Zemedelská Univerzita V Praze,CZ,2014-193271,OPENDATAST96_EPTEST_CZ_FULL_CZEP2901890.xml,2014-11-14,3,EP/2901890,EP,5
Ceská zemedelská univerzita v Praze,CZ,2020-746859,OPENDATAST96_EPTEST_CZ_FULL_CZEP3886601.xml,2020-06-11,3,EP/3886601,EP,5
Ceske vysoke uceni technicke v Praze,CZ,2018-185629,OPENDATAST96_EPTEST_CZ_DIFF_CZEP3434292.xml,2018-07-25,4,EP/3434292,EP,5
Ceske vysoke uceni technicke v Praze,CZ,2015-186204,OPENDATAST96_EPTEST_CZ_FULL_CZEP3035065.xml,2015-09-22,4,EP/3035065,EP,5
Ceske vysoke uceni technicke v Praze,CZ,2016-159531,OPENDATAST96_EPTEST_CZ_FULL_CZEP3127885.xml,2016-03-09,4,EP/3127885,EP,5
Ceske vysoke uceni technicke v Praze,CZ,2016-748255,OPENDATAST96_EPTEST_CZ_FULL_CZEP3308081.xml,2016-06-14,4,EP/3308081,EP,5
Ceske vysoke uceni technicke v Praze,CZ,2016-747858,OPENDATAST96_EPTEST_CZ_FULL_CZEP3329245.xml,2016-06-21,4,EP/3329245,EP,5
Ceske vysoke uceni technicke v Praze,CZ,2015-813910,OPENDATAST96_EPTEST_CZ_FULL_CZEP3380990.xml,2015-11-24,4,EP/3380990,EP,5
Ceske vysoke uceni technicke v Praze,CZ,2019-712116,OPENDATAST96_EPTEST_CZ_FULL_CZEP3749824.xml,2019-02-16,4,EP/3749824,EP,5
Ceske vysoke uceni technicke v Praze,CZ,2020-217992,OPENDATAST96_EPTEST_CZ_FULL_CZEP3846605.xml,2020-12-31,4,EP/3846605,EP,5
Ceske vysoke uceni technicke v Praze,CZ,2021-159836,OPENDATAST96_EPTEST_CZ_FULL_CZEP3910226.xml,2021-03-01,4,EP/3910226,EP,5
Ceské vysoké ucení technické v Praze,CZ,2017-713880,OPENDATAST96_EPTEST_CZ_DIFF_CZEP3430177.xml,2017-03-09,4,EP/3430177,EP,5
Ceské vysoké ucení technické v Praze,CZ,2016-159530,OPENDATAST96_EPTEST_CZ_FULL_CZEP3076144.xml,2016-03-09,4,EP/3076144,EP,5
Ceské vysoké ucení technické v Praze,CZ,2016-156563,OPENDATAST96_EPTEST_CZ_FULL_CZEP3101189.xml,2016-02-19,4,EP/3101189,EP,5
Ceské vysoké ucení technické v Praze,CZ,2016-177475,OPENDATAST96_EPTEST_CZ_FULL_CZEP3113582.xml,2016-07-01,4,EP/3113582,EP,5
Ceské vysoké ucení technické v Praze,CZ,2017-165860,OPENDATAST96_EPTEST_CZ_FULL_CZEP3244324.xml,2017-04-11,4,EP/3244324,EP,5
Ceské vysoké ucení technické v Praze,CZ,2017-191558,OPENDATAST96_EPTEST_CZ_FULL_CZEP3315919.xml,2017-09-18,4,EP/3315919,EP,5
Ceské vysoké ucení technické v Praze,CZ,2018-179983,OPENDATAST96_EPTEST_CZ_FULL_CZEP3421680.xml,2018-06-26,4,EP/3421680,EP,5
Ceské vysoké ucení technické v Praze,CZ,2018-183024,OPENDATAST96_EPTEST_CZ_FULL_CZEP3434182.xml,2018-07-11,4,EP/3434182,EP,5
Ceské vysoké ucení technické v Praze,CZ,2018-181052,OPENDATAST96_EPTEST_CZ_FULL_CZEP3460499.xml,2018-07-01,4,EP/3460499,EP,5
Ceské vysoké ucení technické v Praze,CZ,2017-828641,OPENDATAST96_EPTEST_CZ_FULL_CZEP3548873.xml,2017-11-29,4,EP/3548873,EP,5
Ceské vysoké ucení technické v Praze,CZ,2018-211872,OPENDATAST96_EPTEST_CZ_FULL_CZEP3581094.xml,2018-12-12,4,EP/3581094,EP,5
Ceské vysoké ucení technické v Praze,CZ,2019-179036,OPENDATAST96_EPTEST_CZ_FULL_CZEP3581097.xml,2019-06-07,4,EP/3581097,EP,5
Ceské vysoké ucení technické v Praze,CZ,2019-198822,OPENDATAST96_EPTEST_CZ_FULL_CZEP3627061.xml,2019-09-21,4,EP/3627061,EP,5
Ceské vysoké ucení technické v Praze,CZ,2021-822324,OPENDATAST96_EPTEST_CZ_FULL_CZEP4051195.xml,2021-06-10,4,EP/4051195,EP,5
"Ceské Vysoké Ucení Technické V Praze 
Fakulta Strojni",CZ,2020-215133,OPENDATAST96_EPTEST_CZ_DIFF_CZEP3838302.xml,2020-12-17,4,EP/3838302,EP,5
"Ceské Vysoké Ucení Technické V Praze 
Fakulta Strojni",CZ,2022-170293,OPENDATAST96_EPTEST_CZ_DIFF_CZEP4059527.xml,2020-12-17,4,EP/4059527,EP,5
"Ceské vysoké ucení technické v Praze 
Ústav technické a experimentáiní fyziky",CZ,2014-789976,OPENDATAST96_EPTEST_CZ_FULL_CZEP3039455.xml,2014-08-26,4,EP/3039455,EP,5
"Ceske vysoke uceni technicke v Praze, Fakulta 
strojni, Centrum vozidel udrzitelne mobility",CZ,2018-181561,OPENDATAST96_EPTEST_CZ_FULL_CZEP3425185.xml,2018-07-04,4,EP/3425185,EP,5
CVUT- Fakulta Stavebni,CZ,2017-772595,OPENDATAST96_EPTEST_CZ_FULL_CZEP3513057.xml,2017-08-31,4,EP/3513057,EP,5
"CVUT V Praze, Fakulta Strojní",CZ,2013-466027,OPENDATAST96_EPTEST_CZ_DIFF_CZEP2732928.xml,2013-11-06,4,EP/2732928,EP,5
"CVUT V Praze, Fakulta Strojní",CZ,2013-466012,OPENDATAST96_EPTEST_CZ_FULL_CZEP2743040.xml,2013-07-08,4,EP/2743040,EP,5
"CVUT V Praze, Fakulta Strojní",CZ,2014-747508,OPENDATAST96_EPTEST_CZ_FULL_CZEP3022068.xml,2014-07-14,4,EP/3022068,EP,5
"CVUT V Praze, Fakulta Strojní",CZ,2015-749964,OPENDATAST96_EPTEST_CZ_FULL_CZEP3183098.xml,2015-07-21,4,EP/3183098,EP,5
"CVUT V Praze, Fakulta Strojní",CZ,2016-754165,OPENDATAST96_EPTEST_CZ_FULL_CZEP3310535.xml,2016-06-20,4,EP/3310535,EP,5
"CVUT V Praze, Fakulta Strojní",CZ,2016-766831,OPENDATAST96_EPTEST_CZ_FULL_CZEP3337640.xml,2016-08-18,4,EP/3337640,EP,5
Czech Technical University in Prague,CZ,2021-205420,OPENDATAST96_EPTEST_CZ_DIFF_CZEP4174770.xml,2021-10-28,4,EP/4174770,EP,5
Czech Technical University in Prague,CZ,2014-150931,OPENDATAST96_EPTEST_CZ_FULL_CZEP2765428.xml,2014-01-13,4,EP/2765428,EP,5
Czech Technical University in Prague,CZ,2014-184711,OPENDATAST96_EPTEST_CZ_FULL_CZEP2851647.xml,2014-09-15,4,EP/2851647,EP,5
"Czech Technical University in Prague - 
Faculty of Electrical Engineering",CZ,2014-169931,OPENDATAST96_EPTEST_CZ_FULL_CZEP2811307.xml,2014-05-27,4,EP/2811307,EP,5
"Czech Technical University In Prague, 
Faculty of Mechanical Engineering, Department of 
Energy Engineering",CZ,2014-789772,OPENDATAST96_EPTEST_CZ_FULL_CZEP3047046.xml,2014-09-16,4,EP/3047046,EP,5
Česká zemědělská univerzita v Praze ,CZ,2013-27636,OPENDATAST96_PT_CZ_DIFF_PUV2013-27636.xml,2013-03-21,3,PUV/27636,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2013-27637,OPENDATAST96_PT_CZ_DIFF_PUV2013-27637.xml,2013-03-21,3,PUV/27637,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2014-29728,OPENDATAST96_PT_CZ_DIFF_PUV2014-29728.xml,2014-07-03,3,PUV/29728,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2014-30330,OPENDATAST96_PT_CZ_DIFF_PUV2014-30330.xml,2014-11-25,3,PUV/30330,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2015-30985,OPENDATAST96_PT_CZ_DIFF_PUV2015-30985.xml,2015-04-20,3,PUV/30985,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2015-31275,OPENDATAST96_PT_CZ_DIFF_PUV2015-31275.xml,2015-06-29,3,PUV/31275,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2015-31519,OPENDATAST96_PT_CZ_DIFF_PUV2015-31519.xml,2015-09-15,3,PUV/31519,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2015-31581,OPENDATAST96_PT_CZ_DIFF_PUV2015-31581.xml,2015-10-02,3,PUV/31581,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2015-31583,OPENDATAST96_PT_CZ_DIFF_PUV2015-31583.xml,2015-10-02,3,PUV/31583,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2015-31974,OPENDATAST96_PT_CZ_DIFF_PUV2015-31974.xml,2015-12-30,3,PUV/31974,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2016-32993,OPENDATAST96_PT_CZ_DIFF_PUV2016-32993.xml,2016-10-31,3,PUV/32993,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2016-33127,OPENDATAST96_PT_CZ_DIFF_PUV2016-33127.xml,2016-12-05,3,PUV/33127,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2016-33244,OPENDATAST96_PT_CZ_DIFF_PUV2016-33244.xml,2016-12-28,3,PUV/33244,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2017-33327,OPENDATAST96_PT_CZ_DIFF_PUV2017-33327.xml,2017-01-24,3,PUV/33327,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2017-33666,OPENDATAST96_PT_CZ_DIFF_PUV2017-33666.xml,2017-05-05,3,PUV/33666,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2017-33736,OPENDATAST96_PT_CZ_DIFF_PUV2017-33736.xml,2017-05-26,3,PUV/33736,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2017-33935,OPENDATAST96_PT_CZ_DIFF_PUV2017-33935.xml,2017-07-19,3,PUV/33935,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2017-34235,OPENDATAST96_PT_CZ_DIFF_PUV2017-34235.xml,2017-10-19,3,PUV/34235,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2017-34439,OPENDATAST96_PT_CZ_DIFF_PUV2017-34439.xml,2017-12-11,3,PUV/34439,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2017-34480,OPENDATAST96_PT_CZ_DIFF_PUV2017-34480.xml,2017-12-19,3,PUV/34480,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2018-35194,OPENDATAST96_PT_CZ_DIFF_PUV2018-35194.xml,2018-07-20,3,PUV/35194,PUV,2
Česká zemědělská univerzita v Praze ,CZ,2018-35670,OPENDATAST96_PT_CZ_DIFF_PUV2018-35670.xml,2018-11-28,3,PUV/35670,PUV,2
