Applicant_Name,Country_Code,Application_number,File_Name,Filing_Date,ID_univerzita,API,TYP,TYP_CISLO,Application_Number,API,STAV,API_typ
1. Lékařská Fakulta Univerzity Karlovy,CZ,2015-922,OPENDATAST96_PT_CZ_DIFF_PV2015-922.xml,21.12.2015,14,PT/2015-922,PT,1,2015-922,PT/2015-922,Platný dokument,PT/2015-922-1
1. Lékařská Fakulta Univerzity Karlovy,CZ,2015-923,OPENDATAST96_PT_CZ_DIFF_PV2015-923.xml,21.12.2015,14,PT/2015-923,PT,1,2015-923,PT/2015-923,Platný dokument,PT/2015-923-1
1. Lékařská Fakulta Univerzity Karlovy,CZ,2015-925,OPENDATAST96_PT_CZ_DIFF_PV2015-925.xml,21.12.2015,14,PT/2015-925,PT,1,2015-925,PT/2015-925,Platný dokument,PT/2015-925-1
1. Lékařská Fakulta Univerzity Karlovy,CZ,2017-34273,OPENDATAST96_PT_CZ_FULL_PUV2017-34273.xml,30.10.2017,14,PUV/34273,PUV,2,2017-34273,PUV/34273,Zaniklý dokument,PUV/34273-2
1. Lékařská Fakulta Univerzity Karlovy,CZ,2017-34274,OPENDATAST96_PT_CZ_FULL_PUV2017-34274.xml,30.10.2017,14,PUV/34274,PUV,2,2017-34274,PUV/34274,Zaniklý dokument,PUV/34274-2
1. LF University Karlovy,CZ,2014-213,OPENDATAST96_PT_CZ_FULL_PV2014-213.xml,01.04.2014,14,PT/2014-213,PT,1,2014-213,PT/2014-213,Zaniklý dokument,PT/2014-213-1
1. LF Univerzity Karlovy,CZ,2013-5,OPENDATAST96_PT_CZ_DIFF_PV2013-5.xml,02.01.2013,14,PT/2013-5,PT,1,2013-5,PT/2013-5,Platný dokument,PT/2013-5-1
2. lékařská fakulta Univerzity Karlovy,CZ,2016-33123,OPENDATAST96_PT_CZ_FULL_PUV2016-33123.xml,02.12.2016,14,PUV/33123,PUV,2,2016-33123,PUV/33123,Zaniklý dokument,PUV/33123-2
Akademie múzických umění v Praze ,CZ,2019-37043,OPENDATAST96_PT_CZ_DIFF_PUV2019-37043.xml,19.12.2019,1,PUV/37043,PUV,2,2019-37043,PUV/37043,Zaniklý dokument,PUV/37043-2
Akademie múzických umění v Praze ,CZ,2020-38361,OPENDATAST96_PT_CZ_DIFF_PUV2020-38361.xml,15.12.2020,1,PUV/38361,PUV,2,2020-38361,PUV/38361,Platný dokument,PUV/38361-2
