Application_Number,MPT,Filing_Date,File_Name,API
2013-150282,A61,2013-01-04,OPENDATAST96_EPTEST_CZ_FULL_CZEP2612595.xml,EP/2013-150282
2013-150282,G04,2013-01-04,OPENDATAST96_EPTEST_CZ_FULL_CZEP2612595.xml,EP/2013-150282
2013-150075,B29,2013-01-02,OPENDATAST96_EPTEST_CZ_FULL_CZEP2612749.xml,EP/2013-150075
2013-150075,F02,2013-01-02,OPENDATAST96_EPTEST_CZ_FULL_CZEP2612749.xml,EP/2013-150075
2013-150052,B62,2013-01-02,OPENDATAST96_EPTEST_CZ_FULL_CZEP2612806.xml,EP/2013-150052
2013-150296,A61,2013-01-04,OPENDATAST96_EPTEST_CZ_FULL_CZEP2612850.xml,EP/2013-150296
2013-150296,C07,2013-01-04,OPENDATAST96_EPTEST_CZ_FULL_CZEP2612850.xml,EP/2013-150296
2013-150004,G01,2013-01-02,OPENDATAST96_EPTEST_CZ_FULL_CZEP2613120.xml,EP/2013-150004
2013-150325,G05,2013-01-04,OPENDATAST96_EPTEST_CZ_FULL_CZEP2613212.xml,EP/2013-150325
2013-150233,H04,2013-01-04,OPENDATAST96_EPTEST_CZ_FULL_CZEP2613448.xml,EP/2013-150233
2013-151495,A01,2013-01-16,OPENDATAST96_EPTEST_CZ_FULL_CZEP2614708.xml,EP/2013-151495
2013-150856,A47,2013-01-10,OPENDATAST96_EPTEST_CZ_FULL_CZEP2614754.xml,EP/2013-150856
2013-388001,A47,2013-01-08,OPENDATAST96_EPTEST_CZ_FULL_CZEP2614755.xml,EP/2013-388001
2013-305015,A61,2013-01-09,OPENDATAST96_EPTEST_CZ_FULL_CZEP2614850.xml,EP/2013-305015
2013-150607,B25,2013-01-09,OPENDATAST96_EPTEST_CZ_FULL_CZEP2614927.xml,EP/2013-150607
2013-150661,B29,2013-01-09,OPENDATAST96_EPTEST_CZ_FULL_CZEP2614948.xml,EP/2013-150661
2013-150670,B29,2013-01-09,OPENDATAST96_EPTEST_CZ_FULL_CZEP2614949.xml,EP/2013-150670
2013-150956,B41,2013-01-11,OPENDATAST96_EPTEST_CZ_FULL_CZEP2614960.xml,EP/2013-150956
2013-150338,B60,2013-01-07,OPENDATAST96_EPTEST_CZ_FULL_CZEP2614966.xml,EP/2013-150338
2013-150488,B60,2013-01-08,OPENDATAST96_EPTEST_CZ_FULL_CZEP2614994.xml,EP/2013-150488
2013-150115,B60,2013-01-03,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615002.xml,EP/2013-150115
2013-150115,H01,2013-01-03,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615002.xml,EP/2013-150115
2013-150115,H05,2013-01-03,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615002.xml,EP/2013-150115
2013-150802,B64,2013-01-10,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615031.xml,EP/2013-150802
2013-150802,F25,2013-01-10,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615031.xml,EP/2013-150802
2013-45,F02,2013-01-07,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615032.xml,EP/2013-45
2013-151289,B65,2013-01-15,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615036.xml,EP/2013-151289
2013-151079,B65,2013-01-11,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615046.xml,EP/2013-151079
2013-151079,B67,2013-01-11,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615046.xml,EP/2013-151079
2013-151005,C08,2013-01-11,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615121.xml,EP/2013-151005
2013-150672,D05,2013-01-09,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615199.xml,EP/2013-150672
2013-150215,B01,2013-01-04,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615211.xml,EP/2013-150215
2013-150215,E02,2013-01-04,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615211.xml,EP/2013-150215
2013-111,E03,2013-01-10,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615217.xml,EP/2013-111
2013-150156,F01,2013-01-03,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615253.xml,EP/2013-150156
2013-150082,F02,2013-01-03,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615290.xml,EP/2013-150082
2013-150466,F16,2013-01-08,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615329.xml,EP/2013-150466
2013-150486,F16,2013-01-08,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615330.xml,EP/2013-150486
2013-67,G01,2013-01-08,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615409.xml,EP/2013-67
2013-150942,G06,2013-01-11,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615549.xml,EP/2013-150942
2013-354001,G11,2013-01-07,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615612.xml,EP/2013-354001
2013-354001,H01,2013-01-07,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615612.xml,EP/2013-354001
2013-150138,B60,2013-01-03,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615617.xml,EP/2013-150138
2013-150138,H01,2013-01-03,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615617.xml,EP/2013-150138
2013-150144,B60,2013-01-03,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615618.xml,EP/2013-150144
2013-150144,H01,2013-01-03,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615618.xml,EP/2013-150144
2013-150149,B60,2013-01-03,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615619.xml,EP/2013-150149
2013-150149,H01,2013-01-03,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615619.xml,EP/2013-150149
2013-146,H01,2013-01-11,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615650.xml,EP/2013-146
2013-150989,H01,2013-01-11,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615660.xml,EP/2013-150989
2013-150997,H02,2013-01-11,OPENDATAST96_EPTEST_CZ_FULL_CZEP2615709.xml,EP/2013-150997
2013-150438,A01,2013-01-08,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617285.xml,EP/2013-150438
2013-151312,A23,2013-01-15,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617297.xml,EP/2013-151312
2013-150095,A24,2013-01-03,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617302.xml,EP/2013-150095
2013-151269,A42,2013-01-15,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617307.xml,EP/2013-151269
2013-151269,A62,2013-01-15,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617307.xml,EP/2013-151269
2013-151653,A44,2013-01-17,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617314.xml,EP/2013-151653
2013-151653,A45,2013-01-17,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617314.xml,EP/2013-151653
2013-151599,A47,2013-01-17,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617323.xml,EP/2013-151599
2013-17,A47,2013-01-03,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617324.xml,EP/2013-17
2013-243,A47,2013-01-17,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617329.xml,EP/2013-243
2013-151977,A47,2013-01-18,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617333.xml,EP/2013-151977
2013-151955,A61,2013-01-18,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617352.xml,EP/2013-151955
2013-151955,G01,2013-01-18,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617352.xml,EP/2013-151955
2013-150295,A61,2013-01-04,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617357.xml,EP/2013-150295
2013-221,A61,2013-01-16,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617384.xml,EP/2013-221
2013-221,B65,2013-01-16,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617384.xml,EP/2013-221
2013-152143,A61,2013-01-22,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617452.xml,EP/2013-152143
2013-151784,B32,2013-01-18,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617563.xml,EP/2013-151784
2013-151784,F16,2013-01-18,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617563.xml,EP/2013-151784
2013-152090,B41,2013-01-21,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617577.xml,EP/2013-152090
2013-151913,B60,2013-01-18,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617592.xml,EP/2013-151913
2013-151194,B63,2013-01-14,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617642.xml,EP/2013-151194
2013-151194,E02,2013-01-14,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617642.xml,EP/2013-151194
2013-425012,B63,2013-01-18,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617644.xml,EP/2013-425012
2013-152091,A47,2013-01-21,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617656.xml,EP/2013-152091
2013-152091,B65,2013-01-21,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617656.xml,EP/2013-152091
2013-151260,C08,2013-01-15,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617743.xml,EP/2013-151260
2013-151260,C09,2013-01-15,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617743.xml,EP/2013-151260
2013-151920,C08,2013-01-18,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617759.xml,EP/2013-151920
2013-151920,C09,2013-01-18,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617759.xml,EP/2013-151920
2013-151612,C08,2013-01-17,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617770.xml,EP/2013-151612
2013-151612,H01,2013-01-17,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617770.xml,EP/2013-151612
2013-150154,C08,2013-01-03,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617788.xml,EP/2013-150154
2013-150154,C09,2013-01-03,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617788.xml,EP/2013-150154
2013-150155,C09,2013-01-03,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617789.xml,EP/2013-150155
2013-305057,C12,2013-01-18,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617813.xml,EP/2013-305057
2013-151760,D05,2013-01-18,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617884.xml,EP/2013-151760
2013-150763,E04,2013-01-10,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617916.xml,EP/2013-150763
2013-151462,F04,2013-01-16,OPENDATAST96_EPTEST_CZ_FULL_CZEP2617997.xml,EP/2013-151462
2013-151450,F04,2013-01-16,OPENDATAST96_EPTEST_CZ_FULL_CZEP2618000.xml,EP/2013-151450
2013-151324,G01,2013-01-15,OPENDATAST96_EPTEST_CZ_FULL_CZEP2618120.xml,EP/2013-151324
2013-151324,H04,2013-01-15,OPENDATAST96_EPTEST_CZ_FULL_CZEP2618120.xml,EP/2013-151324
2013-151315,G01,2013-01-15,OPENDATAST96_EPTEST_CZ_FULL_CZEP2618140.xml,EP/2013-151315
2013-151808,G01,2013-01-18,OPENDATAST96_EPTEST_CZ_FULL_CZEP2618165.xml,EP/2013-151808
2013-151704,F24,2013-01-17,OPENDATAST96_EPTEST_CZ_FULL_CZEP2618233.xml,EP/2013-151704
2013-151704,G05,2013-01-17,OPENDATAST96_EPTEST_CZ_FULL_CZEP2618233.xml,EP/2013-151704
2013-151704,G06,2013-01-17,OPENDATAST96_EPTEST_CZ_FULL_CZEP2618233.xml,EP/2013-151704
2013-4,G06,2013-01-02,OPENDATAST96_EPTEST_CZ_FULL_CZEP2618286.xml,EP/2013-4
2013-151706,A47,2013-01-17,OPENDATAST96_EPTEST_CZ_FULL_CZEP2618438.xml,EP/2013-151706
2013-151706,H02,2013-01-17,OPENDATAST96_EPTEST_CZ_FULL_CZEP2618438.xml,EP/2013-151706
2013-150526,H04,2013-01-08,OPENDATAST96_EPTEST_CZ_FULL_CZEP2618574.xml,EP/2013-150526
2013-233,A45,2013-01-17,OPENDATAST96_EPTEST_CZ_FULL_CZEP2618590.xml,EP/2013-233
2013-233,A46,2013-01-17,OPENDATAST96_EPTEST_CZ_FULL_CZEP2618590.xml,EP/2013-233
2013-233,A61,2013-01-17,OPENDATAST96_EPTEST_CZ_FULL_CZEP2618590.xml,EP/2013-233
2013-233,G02,2013-01-17,OPENDATAST96_EPTEST_CZ_FULL_CZEP2618590.xml,EP/2013-233
2013-233,H04,2013-01-17,OPENDATAST96_EPTEST_CZ_FULL_CZEP2618590.xml,EP/2013-233
2013-150612,A45,2013-01-09,OPENDATAST96_EPTEST_CZ_FULL_CZEP2620073.xml,EP/2013-150612
2013-150500,A45,2013-01-08,OPENDATAST96_EPTEST_CZ_FULL_CZEP2620074.xml,EP/2013-150500
2013-152190,A47,2013-01-22,OPENDATAST96_EPTEST_CZ_FULL_CZEP2620084.xml,EP/2013-152190
2013-151353,A47,2013-01-15,OPENDATAST96_EPTEST_CZ_FULL_CZEP2620090.xml,EP/2013-151353
2013-151353,D06,2013-01-15,OPENDATAST96_EPTEST_CZ_FULL_CZEP2620090.xml,EP/2013-151353
2013-152674,A61,2013-01-25,OPENDATAST96_EPTEST_CZ_FULL_CZEP2620116.xml,EP/2013-152674
2013-150798,A61,2013-01-10,OPENDATAST96_EPTEST_CZ_FULL_CZEP2620178.xml,EP/2013-150798
2013-150826,A63,2013-01-10,OPENDATAST96_EPTEST_CZ_FULL_CZEP2620194.xml,EP/2013-150826
2013-152420,B01,2013-01-23,OPENDATAST96_EPTEST_CZ_FULL_CZEP2620210.xml,EP/2013-152420
2013-152506,B02,2013-01-24,OPENDATAST96_EPTEST_CZ_FULL_CZEP2620219.xml,EP/2013-152506
2013-150107,B23,2013-01-03,OPENDATAST96_EPTEST_CZ_FULL_CZEP2620255.xml,EP/2013-150107
2013-152679,B25,2013-01-25,OPENDATAST96_EPTEST_CZ_FULL_CZEP2620258.xml,EP/2013-152679
2013-153052,B29,2013-01-29,OPENDATAST96_EPTEST_CZ_FULL_CZEP2620269.xml,EP/2013-153052
2013-153052,G01,2013-01-29,OPENDATAST96_EPTEST_CZ_FULL_CZEP2620269.xml,EP/2013-153052
2013-152783,B41,2013-01-25,OPENDATAST96_EPTEST_CZ_FULL_CZEP2620281.xml,EP/2013-152783
2013-153051,B41,2013-01-29,OPENDATAST96_EPTEST_CZ_FULL_CZEP2620288.xml,EP/2013-153051
2013-151229,B43,2013-01-15,OPENDATAST96_EPTEST_CZ_FULL_CZEP2620292.xml,EP/2013-151229
