Applicant_name,Country_code,Application_number,File_name,Filing_date,ID_univerzita,API,TYP,TYP_cislo,Application_number,API,STAV,API_typ
1. LĂ©kaĹ™skĂˇ Fakulta Univerzity Karlovy,CZ,2015-922,OPENDATAST96_PT_CZ_DIFF_PV2015-922.xml,42359,14,PT/2015-922,PT,1,2015-922,PT/2015-922,PlatnĂ˝ dokument,PT/2015-922-1
1. LĂ©kaĹ™skĂˇ Fakulta Univerzity Karlovy,CZ,2015-923,OPENDATAST96_PT_CZ_DIFF_PV2015-923.xml,42359,14,PT/2015-923,PT,1,2015-923,PT/2015-923,PlatnĂ˝ dokument,PT/2015-923-1
1. LĂ©kaĹ™skĂˇ Fakulta Univerzity Karlovy,CZ,2015-925,OPENDATAST96_PT_CZ_DIFF_PV2015-925.xml,42359,14,PT/2015-925,PT,1,2015-925,PT/2015-925,PlatnĂ˝ dokument,PT/2015-925-1
1. LĂ©kaĹ™skĂˇ Fakulta Univerzity Karlovy,CZ,2017-34273,OPENDATAST96_PT_CZ_FULL_PUV2017-34273.xml,43038,14,PUV/34273,PUV,2,2017-34273,PUV/34273,ZaniklĂ˝ dokument,PUV/34273-2
1. LĂ©kaĹ™skĂˇ Fakulta Univerzity Karlovy,CZ,2017-34274,OPENDATAST96_PT_CZ_FULL_PUV2017-34274.xml,43038,14,PUV/34274,PUV,2,2017-34274,PUV/34274,ZaniklĂ˝ dokument,PUV/34274-2
1. LF University Karlovy,CZ,2014-213,OPENDATAST96_PT_CZ_FULL_PV2014-213.xml,41730,14,PT/2014-213,PT,1,2014-213,PT/2014-213,ZaniklĂ˝ dokument,PT/2014-213-1
1. LF Univerzity Karlovy,CZ,2013-5,OPENDATAST96_PT_CZ_DIFF_PV2013-5.xml,41276,14,PT/2013-5,PT,1,2013-5,PT/2013-5,PlatnĂ˝ dokument,PT/2013-5-1
2. lĂ©kaĹ™skĂˇ fakulta Univerzity Karlovy,CZ,2016-33123,OPENDATAST96_PT_CZ_FULL_PUV2016-33123.xml,42706,14,PUV/33123,PUV,2,2016-33123,PUV/33123,ZaniklĂ˝ dokument,PUV/33123-2
Akademie mĂşzickĂ˝ch umÄ›nĂ­ v PrazeÂ ,CZ,2019-37043,OPENDATAST96_PT_CZ_DIFF_PUV2019-37043.xml,43818,1,PUV/37043,PUV,2,2019-37043,PUV/37043,ZaniklĂ˝ dokument,PUV/37043-2
Akademie mĂşzickĂ˝ch umÄ›nĂ­ v PrazeÂ ,CZ,2020-38361,OPENDATAST96_PT_CZ_DIFF_PUV2020-38361.xml,44180,1,PUV/38361,PUV,2,2020-38361,PUV/38361,PlatnĂ˝ dokument,PUV/38361-2
Akademie mĂşzickĂ˝ch umÄ›nĂ­ v PrazeÂ ,CZ,2021-39223,OPENDATAST96_PT_CZ_DIFF_PUV2021-39223.xml,44469,1,PUV/39223,PUV,2,2021-39223,PUV/39223,PlatnĂ˝ dokument,PUV/39223-2
Akademie mĂşzickĂ˝ch umÄ›nĂ­ v PrazeÂ ,CZ,2018-734,OPENDATAST96_PT_CZ_DIFF_PV2018-734.xml,43455,1,PT/2018-734,PT,1,2018-734,PT/2018-734,ZaniklĂ˝ dokument,PT/2018-734-1
Akademie mĂşzickĂ˝ch umÄ›nĂ­ v PrazeÂ ,CZ,2019-789,OPENDATAST96_PT_CZ_DIFF_PV2019-789.xml,43818,1,PT/2019-789,PT,1,2019-789,PT/2019-789,ZaniklĂ˝ dokument,PT/2019-789-1
Akademie mĂşzickĂ˝ch umÄ›nĂ­ v PrazeÂ ,CZ,2020-678,OPENDATAST96_PT_CZ_DIFF_PV2020-678.xml,44180,1,PT/2020-678,PT,1,2020-678,PT/2020-678,PlatnĂ˝ dokument,PT/2020-678-1
Akademie mĂşzickĂ˝ch umÄ›nĂ­ v PrazeÂ ,CZ,2021-459,OPENDATAST96_PT_CZ_DIFF_PV2021-459.xml,44469,1,PT/2021-459,PT,1,2021-459,PT/2021-459,PlatnĂ˝ dokument,PT/2021-459-1
Akademie mĂşzickĂ˝ch umÄ›nĂ­ v PrazeÂ ,CZ,2018-35773,OPENDATAST96_PT_CZ_FULL_PUV2018-35773.xml,43454,1,PUV/35773,PUV,2,2018-35773,PUV/35773,ZaniklĂ˝ dokument,PUV/35773-2
Akademie mĂşzickĂ˝ch umÄ›nĂ­ v PrazeÂ ,CZ,2018-35774,OPENDATAST96_PT_CZ_FULL_PUV2018-35774.xml,43454,1,PUV/35774,PUV,2,2018-35774,PUV/35774,ZaniklĂ˝ dokument,PUV/35774-2
Akademie mĂşzickĂ˝ch umÄ›nĂ­ v PrazeÂ ,CZ,2018-735,OPENDATAST96_PT_CZ_FULL_PV2018-735.xml,43455,1,PT/2018-735,PT,1,2018-735,PT/2018-735,ZaniklĂ˝ dokument,PT/2018-735-1
Akademie mĂşzickĂ˝ch umÄ›nĂ­ v PrazeÂ ,CZ,2015-31734,OPENDATAST96_PT_CZ_FULL_PUV2015-31734.xml,42314,1,PUV/31734,PUV,2,2015-31734,PUV/31734,ZaniklĂ˝ dokument,PUV/31734-2
Akademie mĂşzickĂ˝ch umÄ›nĂ­ v PrazeÂ ,CZ,2015-792,OPENDATAST96_PT_CZ_FULL_PV2015-792.xml,42314,1,PT/2015-792,PT,1,2015-792,PT/2015-792,ZaniklĂ˝ dokument,PT/2015-792-1
CeskĂˇ zemedelskĂˇ univerzita v Praze,CZ,2021-856899,OPENDATAST96_EPTEST_CZ_DIFF_CZEP4244331.xml,44547,3,EP/4244331,EP,5,2021-856899,EP/4244331,PlatnĂ˝ dokument,EP/4244331-5
