Patent_Code,Patent_Number,Patent_ID,Status,Classes,Title,Organization
PV,2013-27,304725,Zaniklý dokument,"C12N1/20, C12R1/225, A23L2/84, A23L2/02, A23L1/105, C12G3/02, A23L7/104, C12G3/024, C12G3/021, C12G3/025",CS: Kmen bakterií Lactobacillus paracasei RIBM 2-107 a jeho použití při výrobě nealkoholických a nízkoalkoholických nápojů z ovocných a/nebo obilných substrátůEN: Strain of Lactobacillus paracasei RIBM 2-107 bacteria and use thereof in the preparation of non-alcoholic and low-alcoholic beverages from fruit and/or corn substrates,"Výzkumný ústav pivovarský a sladařský, a.s., Praha 2, Česká republika"
PV,2013-28,306974,Zaniklý dokument,"C12N1/20, C12R1/225, A23L2/02, A23L2/84, A23L1/105, C12G3/02, A23L7/104, C12G3/025",CS: Kmen bakterií Lactobacillus sp. RIBM 2-108 a jeho použití při výrobě nealkoholických a nízkoalkoholických nápojů z ovocných a/nebo obilných substrátůEN: The strain of Lactobacillus sp. RIBM 2-108 and its use in the production of non-alcoholic and low-alcohol beverages from fruit and/or cereal substrates,"Výzkumný ústav pivovarský a sladařský, a.s., Praha 2, Nové Město, Česká republika"
PV,2013-34,304656,Platný dokument,"B32B3/06, B32B5/08, G10K11/172, E04B1/84, D04H1/70, B82B1/00",CS: Zvukově pohltivý prostředek obsahující alespoň jednu akustickou rezonanční membránu tvořenou vrstvou polymerních nanovlákenEN: Sound absorbing means containing at least one acoustic sounding board formed by a layer of polymer nanofibers,"Technická univerzita v Liberci, Liberec, Liberec I-Staré Město, Česká republika"
PV,2013-54,304318,Platný dokument,"C02F103/06, C02F1/78, C02F101/30, B82B1/00","CS: Způsob remediace podzemní vody zejména vody znečištěné organickými látkami s pomocí ozonizace a zařízení k provádění tohoto způsobuEN: Remediation method of underground water, especially water polluted with organic substances by means of ozonization and apparatus for making the same","DEKONTA, a.s., Dřetovice, Česká republika"
PV,2013-121,304285,Zaniklý dokument,"B65G33/14, B65G43/00","CS: Fluidizační šnekovnice, fluidizační šnekový dopravník a způsob dopravy obtížně tekoucího materiáluEN: Fluidization worm, fluidization worm conveyor and method of transporting difficult to flow material","Vysoká škola báňská-Technická univerzita Ostrava, Ostrava-Poruba, Česká republika"
PV,2013-202,304707,Zaniklý dokument,"E04B1/58, E04B1/38, E04B1/26",CS: Lineární trámový spojEN: Linear girder connection,"Vysoká škola technická a ekonomická v Českých Budějovicích, České Budějovice, Česká republika"
PV,2013-204,304449,Zaniklý dokument,"B65G3/00, C05F3/00",CS: Turniketový podavač pro fluidizaci sypké hmoty a způsob fluidizace sypké hmotyEN: Rotary vane feeder for bulk material fluidization and fluidization process of bulk material,"Vysoká škola báňská-Technická univerzita Ostrava, Ostrava-Poruba, Česká republika"
PV,2013-238,304499,Zaniklý dokument,"B65G49/00, B65B37/20","CS: Dávkovač kusového paliva, zejména pelet, pro zařízení pro vysokotlaké zplynováníEN: Lump fuel dosing device, particularly pellet dosing device for high-pressure gasification apparatus","Jiří Surý, Čejkovice, Česká republika"
SPC,2013-253,1966202,Platný dokument,NULL,CS: Jakavi-ruxolitinib,"Incyte Holdings Corporation, Wilmington, 19803, Delaware, Spojené státy americké"
PV,2013-294,304286,Zaniklý dokument,"A62D3/30, C10G21/06","CS: Způsob extrakce polutantů, zejména slabě vázaných polycyklických aromatických uhlovodíků (PAU) z půdního vzorku a zařízení pro provádění tohoto způsobuEN: Method of extracting pollutants, particularly weakly bound polycyclic aromatic hydrocarbons from a soil sample and apparatus for making the same","DEKONTA, a.s., Stehelčeves, Česká republikaMikrobiologický ústav AV ČR, v.v.i., Praha 4, Česká republika"
EP,2015-713560,3119222,Zaniklý dokument,"A24F47/00, A61M15/06, A61M11/08, A61M15/00",CS: InhalátorEN: AN INHALER,"Kind Consumer Limited, London EC1R 5AR, Velká Británie"
PV,2013-312,304329,Zaniklý dokument,"B65G43/08, B65G47/22, G01F1/704, G01F1/74",CS: Validační korečkový elevátor pro modelování mechanických procesů a způsob modelování mechanických procesůEN: Validation bucket elevator for modeling mechanical processes and method of modeling mechanical processes,"Vysoká škola báňská-Technická univerzita Ostrava, Ostrava-Poruba, Česká republika"
SPC,2013-319,1893196,Platný dokument,NULL,CS: XTANDI - enzalutamid,"The Regents of The University of California, Oakland, CA 94607-5200, Spojené státy americké"
PV,2013-454,306395,Platný dokument,"G08G1/01, G08G1/09",CS: Komunikační zařízení pro dopravní prostředekEN: Communication device for means of conveyance,"Ing. Stanislav Koucký, Liberec, Liberec XV-Starý Harcov, Česká republika"
PV,2013-521,304289,Zaniklý dokument,"B65G65/28, B02C19/00, C05F3/00",CS: Zařízení pro míchání mrvy a podestýlkyEN: Device for mixing manure and litter,"Výzkumný ústav zemědělské techniky, v. v. i., Praha 6 - Ruzyně, Česká republika"
PV,2013-677,304835,Platný dokument na poshovovací lhůtě,"F23G7/00, F23G5/10",CS: Způsob výroby paliv pro energetiku a zařízení pro výrobu palivEN: Process for producing fuels for power engineering and fuel producing apparatus,"HEDVIGA GROUP, a.s., Frýdek-Místek, Frýdek, Česká republika"
PV,2013-705,304810,Zaniklý dokument,E01C23/06,CS: Způsob opravy poškozených míst vozovek a komunikacíEN: Method of repairing damaged places of roads,"Ústav chemických procesů AV ČR, v. v. i., Praha 6 – Suchdol, Česká republika"
PV,2013-765,304502,Zaniklý dokument,"B65G15/08, B65G15/60",CS: Válečková stolice pro dopravní pásy strmého pásového dopravníkuEN: Idler assembly for conveyor belts of steep-incline belt conveyor,"Vysoká škola báňská-Technická univerzita Ostrava, Ostrava-Poruba, Česká republika"
PV,2013-794,304861,Platný dokument,"C25B9/08, C25B1/06, C25B11/02, C25B9/19, C25B1/04",CS: Elektrolyzér pro výrobu vodíkuEN: Electrolytic cell for preparing hydrogen,"Jan Pliska, Březová, Česká republikaEva Plisková, Březová, Česká republika"
PV,2013-801,304773,Zaniklý dokument,"B03B9/06, C22B7/00, C10B53/00, C02F11/10, F27D7/02",CS: Způsob odstraňování ropných látek z jimi znečištěných materiálů a zařízení k provádění tohoto způsobuEN: Method of removing oil and oil products from materials contaminated thereby and apparatus for making the same,"TŘINECKÉ ŽELEZÁRNY, a. s., Třinec, Staré Město, Česká republika"
PV,2013-814,305517,Zaniklý dokument,"G01N15/08, G01N13/04, G01N33/24, G01V3/26, G01F23/24",CS: Permeametr s dávkovacím čerpadlemEN: Permeameter with proportioning pump,"Výzkumný ústav meliorací a ochrany půdy,v. v. i., Praha 5, Zbraslav, Česká republika"
PV,2013-826,305677,Zrušený patent,"A62B18/02, A62B23/02, A62B7/00, A62B7/10",CS: Ochranná dýchací maska se společným nádechovým a výdechovým otvoremEN: Protective breathing mask with common aspiration and expiratory opening,"Technická univerzita v Liberci, Liberec, Liberec I-Staré Město, Česká republika"
PV,2013-859,305564,Platný dokument,"A61G5/04, A61G7/002, A61G7/005, A61G7/008, A61G7/08, A61G7/015, A61G7/018, A61G5/06, A61G5/10",CS: Robotické mobilní modifikovatelné lůžkoEN: Robotic mobile modifiable bed,"REACONT,  a.s., Ostrava, Moravská Ostrava, Česká republika"
PV,2013-882,305546,Zaniklý dokument,"G01K1/08, G01K1/20, G01K13/00, G01J5/00, G01K13/25, G01J5/48",CS: Tepelný štít pro eliminaci okolních vlivů prostředí při termografickém měření a způsob jejich prováděníEN: Thermal shield for elimination of environmental effects when conducting thermographic measurements and method of making the same,"Vysoká škola báňská - Technická univerzita Ostrava, Ostrava-Poruba, Česká republika"
EP,2015-714638,3111223,Neúčinný EP od počátku,G01N33/574,"EN: BIOMARKERS FOR LUNG CANCER, ASSOCIATED METHODS, AND KITS","ImmunePharma S.r.l., 84084 Fisciano (SA), Itálie"
PV,2013-885,305371,Platný dokument,"A23J1/20, A23J3/08, A23C21/00, B01D15/08, C07K14/79",CS: Způsob separace syrovátkových proteinů z mléčného média a zařízení k provádění tohoto způsobuEN: Separation process of whey proteins from milk medium and apparatus for making the same,"Univerzita Palackého v Olomouci, Olomouc, Česká republika"
PV,2013-904,305208,Platný dokument,"D02J1/22, D01D5/247, D01D5/24",CS: Způsob úpravy dutého vlákna pro výměníky teplaEN: Method of modifying hollow fiber for heat exchangers,"Vysoké učení technické v Brně, Brno, Veveří, Česká republika"
