Publication_Office_Code,Original_Publication_Office_Code,Publication_Number,Document_Kind_Code,Publication_Date,Application_Number,Filing_Date,Invention_Title,File_Name
CZ,CZ,25494,U1,2013-06-10,2013-27325,2013-01-14,Simulátor zatížení plosky nohy,OPENDATAST96_PT_CZ_DIFF_PUV2013-27325.xml
CZ,CZ,24975,U1,2013-02-26,2013-27335,2013-01-15,Lázeň s obsahem mikroskopických řas a prostředek pro její přípravu,OPENDATAST96_PT_CZ_DIFF_PUV2013-27335.xml
CZ,CZ,25134,U1,2013-03-25,2013-27348,2013-01-18,Kloubní implantát,OPENDATAST96_PT_CZ_DIFF_PUV2013-27348.xml
CZ,CZ,25350,U1,2013-05-13,2013-27349,2013-01-18,Kloubní implantát,OPENDATAST96_PT_CZ_DIFF_PUV2013-27349.xml
CZ,CZ,25392,U1,2013-05-20,2013-27350,2013-01-21,"Zařízení pro měření prvkových kontaminantů, zejména v povrchových a podzemních vodách",OPENDATAST96_PT_CZ_DIFF_PUV2013-27350.xml
CZ,CZ,25964,U1,2013-10-17,2013-27361,2013-01-24,Elektronické zařízení na indikaci výbuchu v hlubinném dole,OPENDATAST96_PT_CZ_DIFF_PUV2013-27361.xml
CZ,CZ,25351,U1,2013-05-13,2013-27368,2013-01-28,Stavitelné rameno pro měřicí stojánky,OPENDATAST96_PT_CZ_DIFF_PUV2013-27368.xml
CZ,CZ,25321,U1,2013-05-06,2013-27379,2013-01-29,Okapní svod dešťové vody,OPENDATAST96_PT_CZ_DIFF_PUV2013-27379.xml
CZ,CZ,25355,U1,2013-05-13,2013-27436,2013-02-12,Magnetický nástroj pro manipulaci a transport feromagnetických polotovarů,OPENDATAST96_PT_CZ_DIFF_PUV2013-27436.xml
CZ,CZ,25360,U1,2013-05-13,2013-27507,2013-02-27,"Přesné vzduchové vřeteno, zejména pro provozní měřidla úchylek kruhovitosti rotačních ploch a rovinnosti čelních ploch",OPENDATAST96_PT_CZ_DIFF_PUV2013-27507.xml
CZ,CZ,25643,U1,2013-07-11,2013-27529,2013-03-01,"Zařízení pro dodatečné využití tepla spalin, zejména pro kamna nebo krby",OPENDATAST96_PT_CZ_DIFF_PUV2013-27529.xml
CZ,CZ,25300,U1,2013-04-29,2013-27535,2013-03-04,Obklad stavebního pouzdra pro posuvné dveře,OPENDATAST96_PT_CZ_DIFF_PUV2013-27535.xml
CZ,CZ,25362,U1,2013-05-13,2013-27538,2013-03-04,"Termoelektrický materiál Bi2-xSr2Co1,82O7+d typu p o velmi vysoké hustotě",OPENDATAST96_PT_CZ_DIFF_PUV2013-27538.xml
CZ,CZ,25580,U1,2013-06-24,2013-27543,2013-03-04,Potravinový přípravek na bázi čokolády s čerstvým chmelem,OPENDATAST96_PT_CZ_DIFF_PUV2013-27543.xml
CZ,CZ,26782,U1,2014-04-14,2013-27549,2013-03-05,Interferometr pro extrémní ultrafialovou oblast,OPENDATAST96_PT_CZ_DIFF_PUV2013-27549.xml
CZ,CZ,25364,U1,2013-05-13,2013-27579,2013-03-11,Upínací zařízení pro měření tahové pevnosti na vzorcích prizmatického tvaru,OPENDATAST96_PT_CZ_DIFF_PUV2013-27579.xml
CZ,CZ,25745,U1,2013-08-08,2013-27595,2013-03-12,Přenosný laserový gravírovací systém,OPENDATAST96_PT_CZ_DIFF_PUV2013-27595.xml
CZ,CZ,25582,U1,2013-06-24,2013-27603,2013-03-14,Rotační stolek pro depozici tenkých povrchových vrstev na substráty,OPENDATAST96_PT_CZ_DIFF_PUV2013-27603.xml
CZ,CZ,26295,U1,2014-01-06,2013-27636,2013-03-21,Systém RFID pro sledování migrací vodních organismů rybími přechody,OPENDATAST96_PT_CZ_DIFF_PUV2013-27636.xml
CZ,CZ,25746,U1,2013-08-08,2013-27637,2013-03-21,Fixační úchyt RFID antény v rybím přechodu,OPENDATAST96_PT_CZ_DIFF_PUV2013-27637.xml
CZ,CZ,25428,U1,2013-05-27,2013-27640,2013-03-22,Zařízení ke snímání trojrozměrného tvaru pracovní části hřbetu koně,OPENDATAST96_PT_CZ_DIFF_PUV2013-27640.xml
CZ,CZ,25772,U1,2013-08-15,2013-27695,2013-04-03,Adaptabilní systém pro zvýšení rychlosti a spolehlivosti přenosu dat v paketové síti s optimalizací zpoždění,OPENDATAST96_PT_CZ_DIFF_PUV2013-27695.xml
CZ,CZ,26151,U1,2013-12-02,2013-27762,2013-04-11,"Víčko nápojové láhve, zejména pro sportovce",OPENDATAST96_PT_CZ_DIFF_PUV2013-27762.xml
CZ,CZ,25441,U1,2013-05-27,2013-27797,2013-04-17,"Zařízení, zejména pro kondiční plavání",OPENDATAST96_PT_CZ_DIFF_PUV2013-27797.xml
CZ,CZ,25470,U1,2013-06-04,2013-27806,2013-04-19,Kotevní sestava roštu kanalizační vpusti,OPENDATAST96_PT_CZ_DIFF_PUV2013-27806.xml
CZ,CZ,25971,U1,2013-10-17,2013-27827,2013-04-23,Trubička do konečníku,OPENDATAST96_PT_CZ_DIFF_PUV2013-27827.xml
CZ,CZ,25860,U1,2013-09-16,2013-27846,2013-04-25,Zařízení pro ochranu svahů proti erozi,OPENDATAST96_PT_CZ_DIFF_PUV2013-27846.xml
