Application_Number,API,STAV,smazat
2013-1000,PT/2013-1000,Negativně ukončený po zveřejněnĂ­,NULL
2013-1001,PT/2013-1001,Negativně ukončený po zveřejněnĂ­,NULL
2013-1002,PT/2013-1002,Platný dokument,NULL
2013-1003,PT/2013-1003,Zaniklý dokument,NULL
2013-1004,PT/2013-1004,Zaniklý dokument,NULL
2013-1005,PT/2013-1005,Zaniklý dokument,NULL
2013-1010,PT/2013-1010,Negativně ukončený po zveřejněnĂ­,NULL
2013-1011,PT/2013-1011,Negativně ukončený po zveřejněnĂ­,NULL
2013-1014,PT/2013-1014,Zaniklý dokument,NULL
2013-1015,PT/2013-1015,Zaniklý dokument,NULL
2013-1020,PT/2013-1020,Zaniklý dokument,NULL
2013-1022,PT/2013-1022,Zaniklý dokument,NULL
2013-1023,PT/2013-1023,Platný dokument,NULL
2013-1026,PT/2013-1026,Zaniklý dokument,NULL
2013-1027,PT/2013-1027,Zaniklý dokument,NULL
2013-1029,PT/2013-1029,Negativně ukončený po zveřejněnĂ­,NULL
2013-102,PT/2013-102,Zaniklý dokument,NULL
2013-1032,PT/2013-1032,Negativně ukončený po zveřejněnĂ­,NULL
2013-1033,EP/2636410,Neúčinný EP od počátku,NULL
2013-1034,PT/2013-1034,Zaniklý dokument,NULL
2013-1043,PT/2013-1043,Zaniklý dokument,NULL
2013-1044,PT/2013-1044,Zaniklý dokument,NULL
2013-1045,PT/2013-1045,Platný dokument,NULL
2013-1049,PT/2013-1049,Negativně ukončený po zveřejněnĂ­,NULL
2013-1050,PT/2013-1050,Zaniklý dokument,NULL
2013-1053,PT/2013-1053,Negativně ukončený po zveřejněnĂ­,NULL
2013-1059,PT/2013-1059,Zaniklý dokument,NULL
2013-1062,PT/2013-1062,Zaniklý dokument,NULL
2013-1065,PT/2013-1065,Zaniklý dokument,NULL
2013-1068,PT/2013-1068,Zaniklý dokument,NULL
2013-1069,PT/2013-1069,Zaniklý dokument,NULL
2013-106,PT/2013-106,Zaniklý dokument,NULL
2013-1070,PT/2013-1070,Platný dokument,NULL
2013-1073,PT/2013-1073,Zaniklý dokument,NULL
2013-1075,PT/2013-1075,Zaniklý dokument,NULL
2013-1076,PT/2013-1076,Negativně ukončený po zveřejněnĂ­,NULL
2013-1079,PT/2013-1079,Zaniklý dokument,NULL
2013-108,PT/2013-108,Zaniklý dokument,NULL
2013-1090,PT/2013-1090,Zaniklý dokument,NULL
2013-1092,PT/2013-1092,Platný dokument,NULL
2013-109,PT/2013-109,Zaniklý dokument,NULL
2013-110,PT/2013-110,Zaniklý dokument,NULL
2013-112,PT/2013-112,Zaniklý dokument,NULL
2013-113,PT/2013-113,Zaniklý dokument,NULL
2013-11,PT/2013-11,Platný dokument,NULL
2013-121,PT/2013-121,Zaniklý dokument,NULL
2013-126,PT/2013-126,Zaniklý dokument,NULL
2013-128,PT/2013-128,Platný dokument,NULL
2013-129,PT/2013-129,Zaniklý dokument,NULL
2013-131,PT/2013-131,Zaniklý dokument,NULL
2013-133,PT/2013-133,Zaniklý dokument,NULL
2013-136,PT/2013-136,Zaniklý dokument,NULL
2013-137,PT/2013-137,Zaniklý dokument,NULL
2013-142,PT/2013-142,Zaniklý dokument,NULL
2013-149,PT/2013-149,Zaniklý dokument,NULL
2013-150,PT/2013-150,Platný dokument,NULL
2013-154,PT/2013-154,Platný dokument,NULL
2013-1555,EP/2650000,Neúčinný EP od počátku,NULL
2013-155,PT/2013-155,Platný dokument,NULL
2013-15,PT/2013-15,Zaniklý dokument,NULL
2013-164,PT/2013-164,Zaniklý dokument,NULL
2013-166,PT/2013-166,Negativně ukončený po zveřejněnĂ­,NULL
2013-16,PT/2013-16,Zaniklý dokument,NULL
2013-179,PT/2013-179,Zaniklý dokument,NULL
2013-180,PT/2013-180,Zaniklý dokument,NULL
2013-184,PT/2013-184,Negativně ukončený po zveřejněnĂ­,NULL
2013-187,PT/2013-187,Zveřejněná přihláška,NULL
2013-188,PT/2013-188,Zaniklý dokument,NULL
2013-192272,EP/2816063,Neúčinný EP od počátku,NULL
2013-193648,EP/2746439,Neúčinný EP od počátku,NULL
2013-196683,EP/2746541,Neúčinný EP od počátku,NULL
2013-202,PT/2013-202,Zaniklý dokument,NULL
2013-203,PT/2013-203,Zaniklý dokument,NULL
2013-204,PT/2013-204,Zaniklý dokument,NULL
2013-210,PT/2013-210,Negativně ukončený po zveřejněnĂ­,NULL
2013-218,PT/2013-218,Zaniklý dokument,NULL
2013-220,PT/2013-220,Zaniklý dokument,NULL
2013-229,PT/2013-229,Zaniklý dokument,NULL
2013-231,PT/2013-231,Negativně ukončený po zveřejněnĂ­,NULL
2013-232,PT/2013-232,Zaniklý dokument,NULL
2013-233,PT/2013-233,Zaniklý dokument,NULL
2013-244,PT/2013-244,Zaniklý dokument,NULL
2013-246,PT/2013-246,Zaniklý dokument,NULL
2013-252,PT/2013-252,Platný dokument,NULL
2013-257,PT/2013-257,Zaniklý dokument,NULL
2013-258,PT/2013-258,Zaniklý dokument,NULL
2013-259,PT/2013-259,Platný dokument na poshovovací lhůtě,NULL
2013-25,PT/2013-25,Zaniklý dokument,NULL
2013-262,PT/2013-262,Zaniklý dokument,NULL
2013-263,PT/2013-263,Zaniklý dokument,NULL
2013-267,PT/2013-267,Zaniklý dokument,NULL
2013-27295,PUV/27295,Zaniklý dokument,NULL
2013-27301,PUV/27301,Zaniklý dokument,NULL
2013-27307,PUV/27307,Zaniklý dokument,NULL
2013-27314,PUV/27314,Zaniklý dokument,NULL
2013-27316,PUV/27316,Zaniklý dokument,NULL
2013-27325,PUV/27325,Zaniklý dokument,NULL
2013-27327,PUV/27327,Zaniklý dokument,NULL
2013-27340,PUV/27340,Zaniklý dokument,NULL
2013-27348,PUV/27348,Zaniklý dokument,NULL
2013-27349,PUV/27349,Zaniklý dokument,NULL
2013-27361,PUV/27361,Zaniklý dokument,NULL
2013-27375,PUV/27375,Zaniklý dokument,NULL
2013-27378,PUV/27378,Zaniklý dokument,NULL
2013-27379,PUV/27379,Zaniklý dokument,NULL
2013-27382,PUV/27382,Zaniklý dokument,NULL
2013-27384,PUV/27384,Zaniklý dokument,NULL
2013-27385,PUV/27385,Zaniklý dokument,NULL
2013-27386,PUV/27386,Zaniklý dokument,NULL
2013-27387,PUV/27387,Zaniklý dokument,NULL
2013-27388,PUV/27388,Zaniklý dokument,NULL
2013-27389,PUV/27389,Zaniklý dokument,NULL
2013-27390,PUV/27390,Zaniklý dokument,NULL
2013-27394,PUV/27394,Zaniklý dokument,NULL
2013-27396,PUV/27396,Zaniklý dokument,NULL
2013-27398,PUV/27398,Zaniklý dokument,NULL
2013-27401,PUV/27401,Zaniklý dokument,NULL
2013-27402,PUV/27402,Zaniklý dokument,NULL
2013-27415,PUV/27415,Zaniklý dokument,NULL
2013-27419,PUV/27419,Zaniklý dokument,NULL
2013-27422,PUV/27422,Zaniklý dokument,NULL
2013-27438,PUV/27438,Zaniklý dokument,NULL
2013-27442,PUV/27442,Zaniklý dokument,NULL
2013-27445,PUV/27445,Zaniklý dokument,NULL
2013-27446,PUV/27446,Zaniklý dokument,NULL
2013-27449,PUV/27449,Zaniklý dokument,NULL
2013-27451,PUV/27451,Zaniklý dokument,NULL
2013-27452,PUV/27452,Zaniklý dokument,NULL
2013-27453,PUV/27453,Zaniklý dokument,NULL
2013-27455,PUV/27455,Zaniklý dokument,NULL
2013-27456,PUV/27456,Zaniklý dokument,NULL
2013-27457,PUV/27457,Zaniklý dokument,NULL
2013-27458,PUV/27458,Zaniklý dokument,NULL
2013-27461,PUV/27461,Zaniklý dokument,NULL
2013-27467,PUV/27467,Zaniklý dokument,NULL
2013-27470,PUV/27470,Zaniklý dokument,NULL
2013-27482,PUV/27482,Zaniklý dokument,NULL
2013-27484,PUV/27484,Zaniklý dokument,NULL
2013-27485,PUV/27485,Zaniklý dokument,NULL
2013-27486,PUV/27486,Zaniklý dokument,NULL
2013-27489,PUV/27489,Zaniklý dokument,NULL
2013-27491,PUV/27491,Zaniklý dokument,NULL
2013-27497,PUV/27497,Zaniklý dokument,NULL
2013-27498,PUV/27498,Zaniklý dokument,NULL
2013-27499,PUV/27499,Zaniklý dokument,NULL
2013-27506,PUV/27506,Zaniklý dokument,NULL
2013-27514,PUV/27514,Zaniklý dokument,NULL
2013-27518,PUV/27518,Zaniklý dokument,NULL
2013-27520,PUV/27520,Zaniklý dokument,NULL
2013-27521,PUV/27521,Zaniklý dokument,NULL
2013-27536,PUV/27536,Zaniklý dokument,NULL
2013-27538,PUV/27538,Zaniklý dokument,NULL
2013-27540,PUV/27540,Zaniklý dokument,NULL
2013-27541,PUV/27541,Zaniklý dokument,NULL
2013-27545,PUV/27545,Zaniklý dokument,NULL
2013-27547,PUV/27547,Zaniklý dokument,NULL
2013-27551,PUV/27551,Zaniklý dokument,NULL
2013-27552,PUV/27552,Zaniklý dokument,NULL
2013-27554,PUV/27554,Zaniklý dokument,NULL
2013-27561,PUV/27561,Zaniklý dokument,NULL
2013-27571,PUV/27571,Zaniklý dokument,NULL
2013-27574,PUV/27574,Zaniklý dokument,NULL
2013-27575,PUV/27575,Zaniklý dokument,NULL
2013-27576,PUV/27576,Zaniklý dokument,NULL
2013-27579,PUV/27579,Zaniklý dokument,NULL
2013-27580,PUV/27580,Zaniklý dokument,NULL
2013-27581,PUV/27581,Zaniklý dokument,NULL
2013-27582,PUV/27582,Zaniklý dokument,NULL
2013-27583,PUV/27583,Zaniklý dokument,NULL
2013-27584,PUV/27584,Zaniklý dokument,NULL
2013-27585,PUV/27585,Zaniklý dokument,NULL
2013-27586,PUV/27586,Zaniklý dokument,NULL
2013-27587,PUV/27587,Zaniklý dokument,NULL
2013-27588,PUV/27588,Zaniklý dokument,NULL
2013-27589,PUV/27589,Zaniklý dokument,NULL
2013-27601,PUV/27601,Zaniklý dokument,NULL
2013-27602,PUV/27602,Zaniklý dokument,NULL
2013-27610,PUV/27610,Zaniklý dokument,NULL
2013-27611,PUV/27611,Zaniklý dokument,NULL
2013-27612,PUV/27612,Zaniklý dokument,NULL
2013-27614,PUV/27614,Zaniklý dokument,NULL
2013-27629,PUV/27629,Zaniklý dokument,NULL
2013-27631,PUV/27631,Zaniklý dokument,NULL
2013-27636,PUV/27636,Zaniklý dokument,NULL
2013-27637,PUV/27637,Zaniklý dokument,NULL
2013-27639,PUV/27639,Zaniklý dokument,NULL
2013-27640,PUV/27640,Zaniklý dokument,NULL
2013-27642,PUV/27642,Zaniklý dokument,NULL
2013-27649,PUV/27649,Zaniklý dokument,NULL
2013-27652,PUV/27652,Zaniklý dokument,NULL
2013-27664,PUV/27664,Zaniklý dokument,NULL
2013-27686,PUV/27686,Zaniklý dokument,NULL
2013-27689,PUV/27689,Zaniklý dokument,NULL
2013-27695,PUV/27695,Zaniklý dokument,NULL
2013-27696,PUV/27696,Zaniklý dokument,NULL
2013-27703,PUV/27703,Zaniklý dokument,NULL
2013-27705,PUV/27705,Zaniklý dokument,NULL
2013-27706,PUV/27706,Zaniklý dokument,NULL
2013-27707,PUV/27707,Zaniklý dokument,NULL
2013-27710,PUV/27710,Zaniklý dokument,NULL
2013-27711,PUV/27711,Zaniklý dokument,NULL
2013-27712,PUV/27712,Zaniklý dokument,NULL
2013-27713,PUV/27713,Zaniklý dokument,NULL
2013-27722,PUV/27722,Zaniklý dokument,NULL
2013-27724,PUV/27724,Zaniklý dokument,NULL
