Popis,Level1,Level2,Level3
LIDSKÉ POTŘEBY,A,A,A
ZEMĚDĚLSTVÍ,A,A0,A0
ZEMĚDĚLSTVÍ ; LESNICTVÍ ; CHOV ZVÍŘAT ; MYSLIVOST ; ODCHYT ZVÍŘAT ; RYBOLOV,A,A0,A01
POTRAVINY ; TABÁK,A,A2,A2
"PEČENÍ ; ZAŘÍZENÍ PRO VÝROBU NEBO ZPRACOVÁNÍ TĚST ; TĚSTA PRO PEČENÍ [1,8]",A,A2,A21
ŘEZNICTVÍ ; ZPRACOVÁNÍ MASA ; ZPRACOVÁNÍ DRŮBEŽE NEBO RYB,A,A2,A22
"POKRMY NEBO POTRAVINY ; JEJICH ZPRACOVÁNÍ, NEZAHRNUTÉ V JINÝCH TŘÍDÁCH",A,A2,A23
TABÁK ; DOUTNÍKY ; CIGARETY ; ZAŘÍZENÍ NA SIMULOVANÉ KOUŘENÍ ; KUŘÁCKÉ POTŘEBY,A,A2,A24
OSOBNÍ NEBO DOMÁCÍ PŘEDMĚTY,A,A4,A4
ODĚVY,A,A4,A41
POKRÝVKY HLAVY,A,A4,A42
OBUV,A,A4,A43
GALANTERIE ; ŠPERKY,A,A4,A44
RUČNÍ NEBO CESTOVNÍ PŘEDMĚTY,A,A4,A45
KARTÁČNICKÉ ZBOŽÍ,A,A4,A46
NÁBYTEK ; DOMÁCÍ PŘEDMĚTY NEBO ZAŘÍZENÍ ; MLÝNKY NA KÁVU ; MLÝNKY NA KOŘENÍ ; VYSAVAČE VŠEOBECNĚ,A,A4,A47
ZDRAVÍ ; ZÁCHRANA ŽIVOTA ; ZÁBAVA,A,A6,A6
LÉKAŘSTVÍ NEBO ZVĚROLÉKAŘSTVÍ ; HYGIENA,A,A6,A61
ZÁCHRANA ŽIVOTA ; PROTIPOŽÁRNÍ ČINNOST,A,A6,A62
SPORT ; HRY ; ZÁBAVA,A,A6,A63
PŘEDMĚTY NEZAHRNUTÉ JINDE V TÉTO SEKCI [8],A,A9,A99
PROVÁDĚNÍ OPERACÍ ; DOPRAVA,B,B,B
ODDĚLOVÁNÍ ; MÍSENÍ,B,B0,B0
FYZIKÁLNÍ NEBO CHEMICKÉ POSTUPY NEBO ZAŘÍZENÍ VŠEOBECNĚ,B,B0,B01
"DRCENÍ, MLETÍ NEBO ROZMĚLŇOVÁNÍ ; PŘEDBĚŽNÉ ZPRACOVÁNÍ ZRNIN K MLETÍ",B,B0,B02
ODDĚLOVÁNÍ PEVNÝCH LÁTEK S POUŽITÍM KAPALIN NEBO S POUŽITÍM VZDUCHOVÝCH SAZEČEK NEBO VZDUCHOVÝCH SPLAVŮ ; MAGNETICKÉ NEBO ELEKTROSTATICKÉ ODDĚLOVÁNÍ PEVNÝCH LÁTEK OD PEVNÝCH LÁTEK NEBO TEKUTIN ; ODDĚLOVÁNÍ VYSOKONAPĚŤOVÝMI ELEKTRICKÝMI POLI [5],B,B0,B03
ODSTŘEDIVKY NEBO ODSTŘEDIVÉ STROJE PRO PROVÁDĚNÍ FYZIKÁLNÍCH NEBO CHEMICKÝCH POSTUPŮ,B,B0,B04
"STŘÍKÁNÍ NEBO ROZPRAŠOVÁNÍ VŠEOBECNĚ ; NANÁŠENÍ TEKUTÝCH LÁTEK NA POVRCHY, VŠEOBECNĚ [2]",B,B0,B05
BUZENÍ NEBO PŘENÁŠENÍ MECHANICKÝCH KMITŮ VŠEOBECNĚ,B,B0,B06
ODDĚLOVÁNÍ PEVNÝCH LÁTEK OD PEVNÝCH LÁTEK ; TŘÍDĚNÍ,B,B0,B07
ČIŠTĚNÍ,B,B0,B08
"ODSTRAŇOVÁNÍ PEVNÉHO ODPADU ; REKULTIVACE KONTAMINOVANÉ PŮDY [3,6]",B,B0,B09
TVÁŘENÍ,B,B2,B2
MECHANICKÉ ZPRACOVÁNÍ KOVŮ BEZ PODSTATNÉHO ODSTRAŇOVÁNÍ MATERIÁLU ; LISOVÁNÍ KOVŮ,B,B2,B21
LITÍ ; PRÁŠKOVÁ METALURGIE,B,B2,B22
OBRÁBĚCÍ STROJE ; OBRÁBĚNÍ KOVŮ NEZAHRNUTÉ JINDE,B,B2,B23
BROUŠENÍ ; LEŠTĚNÍ,B,B2,B24
RUČNÍ NÁSTROJE ; PŘENOSNÉ MECHANICKY POHÁNĚNÉ NÁSTROJE ; RUKOJETI PRO RUČNÍ NÁŘADÍ ; VYBAVENÍ DÍLEN ; MANIPULÁTORY,B,B2,B25
"RUČNÍ ŘEZNÉ NÁSTROJE ; ŘEZÁNÍ ; ODŘEZÁVÁNÍ, ODSEKÁVÁNÍ",B,B2,B26
OPRACOVÁVÁNÍ NEBO OCHRANA DŘEVA NEBO PODOBNÉHO MATERIÁLU ; SBÍJECÍ NEBO SVORKOVACÍ STROJE VŠEOBECNĚ,B,B2,B27
"ZPRACOVÁNÍ CEMENTU, HLÍNY NEBO KAMENE",B,B2,B28
ZPRACOVÁNÍ PLASTICKÝCH HMOT ; ZPRACOVÁNÍ LÁTEK V PLASTICKÉM STAVU VŠEOBECNĚ,B,B2,B29
LISY,B,B3,B30
