Application_number,Datum,Popis
2015-922,21.12.2015,podání přihlášky
2015-922,21.12.2015,podání žádosti o úplný průzkum
2015-922,28.06.2017,zveřejnění PV
2015-922,18.04.2018,publikace udělení patentu
2015-922,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-923,21.12.2015,podání přihlášky
2015-923,21.12.2015,podání žádosti o úplný průzkum
2015-923,28.06.2017,zveřejnění PV
2015-923,18.04.2018,publikace udělení patentu
2015-923,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2015-925,21.12.2015,podání přihlášky
2015-925,21.12.2015,podání žádosti o úplný průzkum
2015-925,28.06.2017,zveřejnění PV
2015-925,18.04.2018,publikace udělení patentu
2015-925,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34273,21.12.2015,podání přihlášky
2017-34273,21.12.2015,podání žádosti o úplný průzkum
2017-34273,28.06.2017,zveřejnění PV
2017-34273,18.04.2018,publikace udělení patentu
2017-34273,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2017-34274,21.12.2015,podání přihlášky
2017-34274,21.12.2015,podání žádosti o úplný průzkum
2017-34274,28.06.2017,zveřejnění PV
2017-34274,18.04.2018,publikace udělení patentu
2017-34274,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2014-213,21.12.2015,podání přihlášky
2014-213,21.12.2015,podání žádosti o úplný průzkum
2014-213,28.06.2017,zveřejnění PV
2014-213,18.04.2018,publikace udělení patentu
2014-213,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2013-5,21.12.2015,podání přihlášky
2013-5,21.12.2015,podání žádosti o úplný průzkum
2013-5,28.06.2017,zveřejnění PV
2013-5,18.04.2018,publikace udělení patentu
2013-5,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2016-33123,21.12.2015,podání přihlášky
2016-33123,21.12.2015,podání žádosti o úplný průzkum
2016-33123,28.06.2017,zveřejnění PV
2016-33123,18.04.2018,publikace udělení patentu
2016-33123,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-37043,21.12.2015,podání přihlášky
2019-37043,21.12.2015,podání žádosti o úplný průzkum
2019-37043,28.06.2017,zveřejnění PV
2019-37043,18.04.2018,publikace udělení patentu
2019-37043,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-38361,21.12.2015,podání přihlášky
2020-38361,21.12.2015,podání žádosti o úplný průzkum
2020-38361,28.06.2017,zveřejnění PV
2020-38361,18.04.2018,publikace udělení patentu
2020-38361,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-39223,21.12.2015,podání přihlášky
2021-39223,21.12.2015,podání žádosti o úplný průzkum
2021-39223,28.06.2017,zveřejnění PV
2021-39223,18.04.2018,publikace udělení patentu
2021-39223,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-734,21.12.2015,podání přihlášky
2018-734,21.12.2015,podání žádosti o úplný průzkum
2018-734,28.06.2017,zveřejnění PV
2018-734,18.04.2018,publikace udělení patentu
2018-734,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2019-789,21.12.2015,podání přihlášky
2019-789,21.12.2015,podání žádosti o úplný průzkum
2019-789,28.06.2017,zveřejnění PV
2019-789,18.04.2018,publikace udělení patentu
2019-789,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2020-678,21.12.2015,podání přihlášky
2020-678,21.12.2015,podání žádosti o úplný průzkum
2020-678,28.06.2017,zveřejnění PV
2020-678,18.04.2018,publikace udělení patentu
2020-678,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2021-459,21.12.2015,podání přihlášky
2021-459,21.12.2015,podání žádosti o úplný průzkum
2021-459,28.06.2017,zveřejnění PV
2021-459,18.04.2018,publikace udělení patentu
2021-459,21.12.2024,"datum, do kdy jsou uhrazeny udržovací poplatky"
2018-35773,21.12.2015,podání přihlášky
